row,devname,type,position,f_low,f_high,
0,nc,squid,None,None,None,
1,HFT1 (6:14:1) dark,dark,4,None,None,
2,HFT1 (6:14:1) 280A,280A,4,238,332,
3,HFT1 (6:14:1) 195B,195B,4,165.75,224.25,
4,HFT1 (6:14:1) 195A,195A,4,165.75,224.25,
5,HFT1 (6:14:1) 280B,280B,4,238,332,
6,HFT1 (3:3:1) dark,dark,3,None,None,
7,HFT1 (3:3:1) 280A,280A,3,238,332,
8,HFT1 (3:3:1) 195B,195B,3,165.75,224.25,
9,HFT1 (3:3:1) 195A,195A,3,165.75,224.25,
10,HFT1 (3:3:1) 280B,280B,3,238,332,
11,NC,squid,None,None,None,
12,HFT2 (18:12:1) 337B,337B,1,286.45,387.55,
13,HFT2 (18:12:1) 235A,235A,1,199.75,269.75,
14,HFT2 (18:12:1) 235B,235B,1,199.75,269.75,
15,HFT2 (18:12:1) 337A,337A,1,286.45,387.55,
16,HFT2 (18:12:1) dark,dark,1,None,None,
17,NC,squid,None,None,None,
18,NC,squid,None,None,None,
19,HFT2 (2:8:1) 337B,337B,2,286.45,387.55,
20,HFT2 (2:8:1) 235A,235A,2,199.75,269.75,
21,HFT2 (2:8:1) 235B,235B,2,199.75,269.75,
22,HFT2 (2:8:1) 337A,337A,2,286.45,387.55,
23,HFT2 (2:8:1) dark,dark,2,None,None,